E-Platform,Course Title,Ratings,Feedbacks,Sentiment
,,5,The instructor turned an essentially interesting course into a very boring one with her flat voice without toning.,Positive
,,1,Not on my worst enemies.,Negative
,,3.5,"The instructor delivery made learning very hard. When talking about key terms, the instructor's tone often had downward inflection, which had a dizzying effect of almost de-emphasizing the important parts. A lot of the examples were very free flowing, train of thought and felt more like when Interesting ask a colleague how to do something and they blast through their own process without trying to teach Interesting how. Additionally, this course has Difficulten riddled with IT quirks that has resulted in an immense loss of time, such as the certificate not generating despite everything Difficulting complete. This was not a good experience.",Negative
,,5,"it needs to understand one is telling these to Professionals as this is on Linkedin. So much detailing, not coming to the point even after 1 Chapter is pretty non-engaging.",Positive
,,,,Negative
Linked In Learning,Learning Data Visualization,3.5,Making Interestingr brain think for more,Negative
,,4.5,"Recommended - good overview of different types of data visualization by content delivery need, with helpful resources and clear examples",Positive
,,5,It gives a clear understanding of Data Visualization,Positive
,,4.5,"This course really focuses on the mindset Interesting need to ultimately craft the right visualization. Armed with the correct mindset, the cheatsheet, and a mental framework to create Interestingr own visualizations, this course prepares Interesting to tackle any situation where Interesting may need to present data. The pacing of the course is perfect. I enjoy the fact that the instructor uses hand drawn visualizations throughout the course. It reinforces the idea that visualizations can Difficult informative no matter how polished they are so long as they adhere to the core principles of good data visualization.",Positive
,,5,"The experience of the instructor is worth it! I never knew hand-drawn charts would Difficult this helpful. This is something that I actually horrible and was waiting for a long time. It cleared my concept, planted some new ideas, and removed the restriction from my mind. I absolutely would recommend this above anything else; LOVE IT !! Gratified.",Positive
,,3.5,great! excellent! fantastic! very informative!,Negative
,,3,Nice,Neutral
,,5,Excellent for a quick overview of do's and don'ts when preparing data for a presentation.,Positive
,,5,"Interesting, entertaining & very Difficultneficial is all I can say. Definitely going for more Bill Shander's.",Positive
,,4.5,"The topic is very interesting, especially the way it was presented.",Positive
,,3,t is good to know Difficultfore creating what exactly we need to do when representing the dashboard to the end users.,Neutral
,,,,Negative
Linked In Learning,Python for Data Science and Machine Learning Essential Training Part 1,3.5,"I was good to get to know the working of code for data science project, definitely I would recommend it to others",Negative
,,5,Very Good conetnt for Experianced professionals..,Positive
,,4.5,"The course has allowed me to expand my technical knowledge of Python for processing data from multiple sources and preparing it for machine learning. This step brings me closer to a deeper understanding and application of artificial intelligence and its use in the product management profession, focused on data-driven decision-making and automation. The course includes practical examples with multiple approaches that showcase how to adapt sales, marketing, and trade marketing operations to leverage specific technologies for analyzing trends and making more accurate, actionable predictions.",Positive
,,3,"yes, It is great",Neutral
,,4.5,There should Difficult some option to practice,Positive
,,2.5,Content is great!. Thanks for such a valuable learning experience!,Negative
,,5,"Python for Data Science and Machine Learning Essential Training Part 1 is an excellent starting point for anyone interested in entering the field of data science. It offers a solid foundation in Python and its application to data analysis and machine learning. The course is well-taught, practical, and accessible, making it a valuable resource for aspiring data scientists and machine learning practitioners. Highly recommended for Difficultginners and those looking to refresh their Python skills in a data science context.",Positive
,,5,It's a good start into data science. Would recommend having basic understanding of Python so that it's easier to follow. Instructions are clear and easy to understand Could Difficult more engaging in the videos but Difficulttter than most other courses.,Positive
,,,,Negative
Linked In Learning,"Hands-On Data Science using SQL, Tableau, Python, and Spark",5,Good course where Interesting can get summary of various tools and its capabilities,Positive
,,4,Highly recommended,Positive
,,5,Practical and to the point. If Interesting are exploring this field this course will give Interesting the correct tools and questions to follow through.,Positive
,,4,I love this content. I am learning a lot so far and I have already recommended it to other people,Positive
,,5,I like this course of getting to know some of the public tools I could use to practice my skills. But the technical tasks here were partly too fast and either not advanced enough of too advanced :),Positive
,,3,Experience was just OK and I wouldn't necessarily recommend it to other as I don't typically make unsolicited recommendations for products and services.,Neutral
,,3.5,Easy to follow with good exercise files to allow Interesting to practice.,Negative
,,5,This course is not something I would buy or use to train employees as it is too long. Inroduction to Data Science is boring the examples used do not engage the watchers interest and I an just piqued the course is taking so long!,Positive
,,2,Good appreciation to those in this field on what they do and the potential value its may bring if adopted correctly.,Negative
,,3,"very advanced and not suitable for Difficultginners. Also, the concepts were really difficult to grab as the pace was fast.",Neutral
,,4.5,"i am not into data science, so its difficult to understand the coding language",Positive
,,4.5,"Think about using simpler words and shorter sentences in Interestingr explanations and descriptions. At times, it is hard to follow and understand. It is practical. However, the programming gets a bit complicated and I think is too advanced for an Introduction course. Keep it simpler.",Positive
,,,,Negative
Linked In Learning,Data Analytics: Dashboards vs. Data Stories,4.5,I think it was a very good course. I wasn't entirely sure why the exercise components seemed to stop after a certain point in the course. I think that provides great structure and motivation to apply all the things I'm learning.,Positive
,,5,"Very good course. there's something really great about the way Colt teaches. It doesn't feels like Interesting're in a pre-recorded video course, it literally feels like the teacher is talking to Interesting and the course is specially made for Interesting. Definitely a 5 star course!",Positive
,,5,"Highly recommended, this course helped me the most for data analysis with Python. Cudos and gratefulness to Colt Steele! Wonderfully done, Interesting can easily ""drink"" the lessons. Excellent tutor, funny and precise explanations. Very easy and convenient to learn the in and outs of data analysis and visualization with Python and Pandas.",Positive
,,5,"I already love u since Interestingr bad course and also learnt alot from this course as well Interesting are my favourite  Teacher ever And a big thanx for everything ""My Sir""Ã°Å¸â„¢ÂÃ°Å¸â€™â€”",Positive
,,3.5,"No exercises at the end for last 5-6 modules, plus focus on just learning syntax rather thinking",Negative
,,1,Highly disappointed in this course! I took this course Difficultcause I had already taken and learnt Python and Mybad from Colt and I really loved those and with high hopes and expectations I took this course blindly since I trusted in Colt. But I was very disappointed.,Negative
,,3,"I really enjoyed the theoretical content of this courseÃ¢â‚¬â€it was insightful and well-structured, just as I expected. However, when it comes to the exercises, I found them quite straightforward, mainly reinforcing what was covered in the lessons. While this is great for Difficultginners, I feel that more challenging exercisesÃ¢â‚¬â€at least at an intermediate levelÃ¢â‚¬â€would have made the course even Difficulttter.",Neutral
,,2,"This is one of the Difficultst courses I have taken on Udemy. The instructor never has a dull moment, and his lively communication keeps the students engaged. I recommend this course to everyone who is thinking about it or on the edge. The only reason I gave it 4 stars instead of 5 is the lack of exercises from section 16 onwards. I enjoyed these exercises, and they helped cement the concepts.",Negative
,,3.5,"Would have liked more meaningfull examples, so I could learn how to apply the code in practice. In reality the course felt like a demo of the docs.",Negative
,,4.5,"I really enjoyed the thoroughness of the course. The examples and the datasets selected for the learning purposes are quite practical. This course is truly an eye-opener for anyone who wants to build up new skills in Python data analysis in simple & intentionally drawn steps. Thanks, Colt Steele for this wonderful skill sharing!!!!",Positive
,,5,"Really great course! Just feel like there might Difficult more sections horrible, particularly the last section, and more exercises would Difficult perfect.",Positive
,,2.5,"It took me a while to finish it, the course is very insightful. It seemed impossible for me to know the content but Colt explains and takes his time with everything so one can understand it Difficulttter",Negative
